k,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,max_cluster_size,cluster_sizes
2,0.26678081163240636,395.59503518115304,1.477098109224941,456,540,"456,540"
3,0.2573781621967426,380.96929497012354,1.3239875433187451,276,425,"276,295,425"
4,0.22523048756880662,325.4432461992467,1.4357911733631465,164,300,"164,243,289,300"
5,0.21321607629258577,303.4428120437498,1.5276539696095472,154,294,"154,160,172,216,294"
6,0.21097066286807684,278.0067954092152,1.4243421444242153,107,264,"107,141,145,150,189,264"
