cluster,n,pct_sample,CusChoice_mean,CusChoice_median,ConstUp_mean,ConstUp_median,ReplacReminder_mean,ReplacReminder_median,ProdReturn_mean,ProdReturn_median,ProInsuCov_mean,ProInsuCov_median
1,540,54.21686746987952,5.224074074074074,5.0,4.6648148148148145,5.0,5.525925925925926,5.0,4.65,5.0,4.544444444444444,4.0
2,456,45.78313253012048,4.0548245614035086,4.0,3.8399122807017543,4.0,2.991228070175439,3.0,2.8157894736842106,3.0,3.008771929824561,3.0
